Func,Variant,Best,Median,Mean,Std,p_vs_iPWO,iPWO_better
25,SHADE,2886.74417152115,2887.04187291664,2887.09936250081,0.359365240600573,0.00137850595274056,0
25,SHADE_ECR_OED,2886.74417152115,2887.04020608263,2887.08648035132,0.326628662877767,0.00134684376446101,0
25,PWO,2883.67149234541,2910.77195573828,2977.04606532267,166.96030240863,1.6344900313974e-14,1
26,iPWO,3593.8248505591,3733.8287546637,3739.77973494191,78.7903463144304,NaN,0
26,SHADE,2800,3862.69969532788,3852.17896197352,175.681629906942,9.52729459533606e-10,1
26,SHADE_ECR_OED,2800,3870.67396015904,3860.19442211548,175.506334627215,1.57190227026353e-10,1
26,PWO,7647.91555371007,9314.91642579222,9312.77621616525,689.488646443546,3.30368150166619e-18,1
27,iPWO,3190.78034702048,3206.56764362207,3204.94072453403,5.68703422704673,NaN,0
27,SHADE,3197.52149251508,3210.56595272609,3210.93410294484,8.07833142886163,0.000226306448275953,1
27,SHADE_ECR_OED,3197.16395732325,3210.56595272609,3210.98643351243,8.16481284181852,0.000188065553117459,1
27,PWO,3339.92173576391,3810.84107279116,3851.23845089687,298.788463213231,3.30368150166619e-18,1
28,iPWO,3100,3100,3139.50417367908,54.640154421029,NaN,0
28,SHADE,3100,3100,3149.27245277886,60.8117430278096,4.5919061989559e-05,1
28,SHADE_ECR_OED,3100,3100,3149.27245277886,60.8117430278095,7.16923962190302e-05,1
28,PWO,3190.85921547584,3468.67986097188,3531.14373846223,296.613376343378,1.17645389824558e-16,1
29,iPWO,3274.47307436429,3344.08939567976,3346.83653610918,30.1121108601075,NaN,0
29,SHADE,3384.24177723183,3433.57625287395,3457.95183247393,58.5050706299289,5.03124597516937e-17,1
29,SHADE_ECR_OED,3336.82326891039,3417.25876541757,3433.07089216702,55.791810440317,4.14230857486359e-15,1
29,PWO,4082.15610758093,4834.84636549232,4935.13197924667,493.651503469728,3.30368150166619e-18,1
30,iPWO,4949.37056791437,5091.04290762076,5152.56468774327,197.852303597779,NaN,0
30,SHADE,4964.36940299518,5160.92934118581,5198.13135378663,181.11274911747,0.0656956682463542,0
30,SHADE_ECR_OED,4949.57326872938,5148.95739697962,5241.7342656902,279.310783698028,0.0439565499277856,1
30,PWO,967157.378673227,2873425.30475357,35581989.6443264,214598748.967044,3.30368150166619e-18,1
