Dim,Func,Variant,Best,Median,Mean,Std,p_vs_iPWO,iPWO_better
30,25,noNAS,2886.71988575405,2887.10176097276,2887.09605490602,0.214938461401306,0.730338412145248,0
30,25,PWO,2883.79879611043,2905.43203974145,2963.92212650233,142.503407710241,2.32717720625518e-13,1
30,26,iPWO,3577.06285223041,3743.49163818196,3744.22514093709,73.8202384895462,NaN,0
30,26,noECR,3577.06285223041,3743.49163818196,3744.22514093709,73.8202384895462,1,0
30,26,noOED,3530.26489181051,3743.57622262201,3734.04844545788,72.8756942512227,0.748020980066632,0
30,26,noNAS,3563.97361189341,3743.9113693179,3731.91590447778,72.9276667074507,0.663543571865693,0
30,26,PWO,7566.26983631794,9540.56715513075,9415.77599211995,735.724718326283,3.30368150166619e-18,1
30,27,iPWO,3191.72384265763,3204.08305026209,3203.42483483146,5.56609582434964,NaN,0
30,27,noECR,3191.72383883739,3204.08305026209,3203.42483506848,5.56609616745221,0.994659639438677,0
30,27,noOED,3190.39311564426,3203.76531705568,3202.97300279556,5.26921459719706,0.578556327938504,0
30,27,noNAS,3188.35282446014,3203.57750249333,3203.08510995612,5.35119012863638,0.783776473850268,0
30,27,PWO,3282.60373507038,3945.50644005257,3978.27302251026,394.92484050741,3.30368150166619e-18,1
30,28,iPWO,3100,3100,3136.38692252841,55.349089709819,NaN,0
30,28,noECR,3100,3100,3136.38692252841,55.3490897098155,0.983737795730427,0
